Name,Location,Longitude,Latitude
Changi Airport Singapore,"60 Airport Boulevard #04-531, Changi Airport Terminal 2, Singapore 819643",103.9886,1.3545
Dao by Dorsett AMTD Singapore,"6 Shenton Way, Marina Bay, 068809 Singapore, Singapore",103.850601,1.31363
M Hotel Singapore City Centre,"81 Anson Road M Hotel, Singapore 079908 Singapore",103.84505,1.2737
The Fullerton Hotel Singapore,"1 Fullerton Square, Marina Bay, 049178 Singapore, Singapore",103.85274,1.28624
Carlton Hotel Singapore,"76 Bras Basah Road, City Hall, 189558 Singapore, Singapore",103.85233,1.29593
The Outpost Hotel Sentosa by Far East Hospitality,"10 Artillery Avenue #03-01, Sentosa Island, Sentosa Island, 099951 Singapore, Singapore",103.82142,1.25327
Swissotel The Stamford,"2 Stamford Road, City Hall, 178882 Singapore, Singapore",103.85352,1.29346
Singapore Marriott Tang Plaza Hotel,"320 Orchard Road, Orchard, 238865 Singapore, Singapore",103.83308,1.30507
Naumi Hotel,"41 Seah Street, 188396 Singapore, SingaporeÂ ",103.8552,1.29585
Parkroyal Collection Marina Bay Singapore,"6 Raffles Boulevard,Marina Square, Singapore 039594 Singapore",103.85768,1.29206
Hilton Singapore Orchard,"333 Orchard Road, Orchard, 238867 Singapore, Singapore",103.8363,1.3021
The Clan Hotel Singapore,"10 Cross Street, Singapore 048417 Singapore",103.847691,1.282936
Citadines Connect Rochester Singapore,"1 Rochester Park, Singapore 139212 Singapore",103.78872,1.30609
The Warehouse Hotel,"320 Havelock Road The Warehouse Robertson Quay, Singapore 169628 Singapore",103.8375,1.2892
Mandarin Oriental Singapore,"5 Raffles Avenue Marina Square, Singapore 039797 Singapore",103.858324,1.290661
"The Ritz-Carlton, Millenia Singapore","7 Raffles Avenue 7 Raffles Avenue, Singapore 039799 Singapore",103.8601,1.291
Shangri-La Hotel Singapore,"22 Orange Grove Rd Orchard Road, Singapore 258350 Singapore",103.838387,1.36797
JW Marriott Hotel Singapore South Beach,"30 Beach Road Access via Nicoll Highway, Singapore 189763 Singapore",103.8558,1.2945
Four Seasons Hotel Singapore,"190 Orchard Boulevard, Singapore 248646 Singapore",103.828667,1.30527
The Capitol Kempinski Hotel Singapore,"15 Stamford Rd, Singapore 178906 Singapore",103.8512,1.2938
One Farrer Hotel Singapore,"1 Farrer Park Station Road Connexion, Singapore 217562 Singapore",103.79112,1.29822
